                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4683,                 21.317,                 1.9633,                      0,                      0,                      0,                      0,                 1.1338,                 6.2706,                0.98995,             0.00027638,             0.00027638,             0.00027638
                      2,                 2.3792,                 11.157,                 1.8591,                 0.0186,                0.03409,                0.01802,                0.01209,                 1.5675,                 6.1011,                 1.2509,             0.00054947,             0.00054947,             0.00054947
                      3,                 2.6232,                 8.6857,                  1.971,                 0.0186,                0.03409,                0.01802,                0.01209,                 1.5409,                 4.9682,                 1.3388,             0.00081799,             0.00081799,             0.00081799
                      4,                 2.6956,                 6.8257,                 2.0853,                 0.0186,                0.03409,                0.01802,                0.01209,                 1.8555,                 5.3416,                 1.5249,             0.00081238,             0.00081238,             0.00081238
                      5,                  2.761,                 6.2141,                 2.1777,                 0.0186,                0.03409,                0.01802,                0.01209,                  1.773,                 4.9423,                 1.5975,             0.00081238,             0.00081238,             0.00081238
                      6,                 2.7816,                 5.5996,                 2.2024,                 0.0186,                0.03409,                0.01802,                0.01209,                 2.1203,                 4.6284,                 1.7579,             0.00080551,             0.00080551,             0.00080551
                      7,                 2.7277,                   5.06,                 2.1664,                 0.0186,                0.03409,                0.01802,                0.01209,                 2.0346,                 4.1293,                 1.9198,             0.00079864,             0.00079864,             0.00079864
                      8,                 2.7557,                 4.9162,                  2.261,                 0.0186,                0.03409,                0.01802,                0.01209,                 1.6864,                  4.134,                 1.8832,             0.00079177,             0.00079177,             0.00079177
                      9,                 2.8186,                 4.8007,                 2.1468,                 0.0186,                0.03409,                0.01802,                0.01209,                 2.0138,                 4.5381,                 1.8981,             0.00078489,             0.00078489,             0.00078489
                     10,                 2.7313,                 4.5366,                 2.2202,                 0.0186,                0.03409,                0.01802,                0.01209,                 2.1276,                 4.3485,                 2.0909,             0.00077802,             0.00077802,             0.00077802
                     11,                 2.7182,                 4.4907,                 2.1862,                0.04808,                0.02841,                  0.034,                0.01073,                 2.2334,                  5.494,                 2.1283,             0.00077115,             0.00077115,             0.00077115
                     12,                 2.6871,                 4.5402,                 2.2199,                0.04808,                0.02841,                  0.034,                0.01073,                 2.5127,                 4.6161,                 2.3248,             0.00076428,             0.00076428,             0.00076428
                     13,                 2.6115,                  4.329,                 2.0127,                0.04808,                0.02841,                  0.034,                0.01073,                 2.9585,                 5.6274,                  3.385,             0.00075741,             0.00075741,             0.00075741
                     14,                 2.6886,                 4.4639,                 2.1659,                0.04808,                0.02841,                  0.034,                0.01073,                 1.8341,                 3.8712,                 1.9389,             0.00075053,             0.00075053,             0.00075053
                     15,                 2.6424,                 4.3706,                 2.2302,                0.04808,                0.02841,                  0.034,                0.01073,                 1.9719,                 3.8367,                 1.9766,             0.00074366,             0.00074366,             0.00074366
                     16,                 2.6036,                 4.3332,                 1.9965,                0.04808,                0.02841,                  0.034,                0.01073,                 2.1112,                 5.0243,                 2.0213,             0.00073679,             0.00073679,             0.00073679
                     17,                 2.5968,                 4.3813,                 2.0906,                0.04808,                0.02841,                  0.034,                0.01073,                 2.1385,                   4.14,                 2.0827,             0.00072992,             0.00072992,             0.00072992
                     18,                 2.5518,                 4.2752,                 2.0499,                0.04808,                0.02841,                  0.034,                0.01073,                 1.8574,                 3.7001,                  1.909,             0.00072304,             0.00072304,             0.00072304
                     19,                 2.4504,                 4.3374,                 2.0722,                0.04808,                0.02841,                  0.034,                0.01073,                 1.9303,                 4.0995,                 1.9276,             0.00071617,             0.00071617,             0.00071617
                     20,                 2.5363,                 4.2451,                 2.0313,                0.04808,                0.02841,                  0.034,                0.01073,                 2.1322,                 3.8229,                 2.0865,              0.0007093,              0.0007093,              0.0007093
                     21,                 2.6694,                 4.3811,                 2.1189,                0.04808,                0.02841,                  0.034,                0.01073,                 2.1203,                 3.7969,                  2.011,             0.00070243,             0.00070243,             0.00070243
                     22,                 2.5393,                 4.2154,                 2.0142,                0.04808,                0.02841,                  0.034,                0.01073,                 1.8802,                 3.8672,                 1.9222,             0.00069556,             0.00069556,             0.00069556
                     23,                 2.5229,                 4.0787,                 2.0364,                0.04808,                0.02841,                  0.034,                0.01073,                 2.0148,                 3.8573,                 2.0105,             0.00068868,             0.00068868,             0.00068868
                     24,                 2.6222,                 4.1265,                 2.1214,                0.04808,                0.02841,                  0.034,                0.01073,                 1.9822,                 3.3974,                 1.9375,             0.00068181,             0.00068181,             0.00068181
                     25,                 2.5097,                 4.0746,                 2.0664,                0.04808,                0.02841,                  0.034,                0.01073,                 1.8795,                 3.3816,                 1.8359,             0.00067494,             0.00067494,             0.00067494
                     26,                 2.5126,                 4.0877,                 2.1163,                0.04808,                0.02841,                  0.034,                0.01073,                 2.0585,                 3.4098,                 1.9047,             0.00066807,             0.00066807,             0.00066807
                     27,                  2.359,                 4.0023,                 1.9836,                0.04808,                0.02841,                  0.034,                0.01073,                 2.2998,                 3.7882,                 2.0125,             0.00066119,             0.00066119,             0.00066119
                     28,                 2.7318,                 4.2297,                 2.1429,                0.04808,                0.02841,                  0.034,                0.01073,                 2.3602,                 3.4518,                 2.0251,             0.00065432,             0.00065432,             0.00065432
                     29,                 2.4127,                 3.9281,                 2.0168,                0.04808,                0.02841,                  0.034,                0.01073,                 2.1134,                 3.3052,                 1.9154,             0.00064745,             0.00064745,             0.00064745
                     30,                 2.5314,                 3.9899,                 1.9428,                0.04808,                0.02841,                  0.034,                0.01073,                 1.9642,                 3.4389,                 1.8915,             0.00064058,             0.00064058,             0.00064058
                     31,                 2.3535,                  3.871,                 1.9767,                0.04808,                0.02841,                  0.034,                0.01073,                 1.8807,                 3.2449,                 1.8653,              0.0006337,              0.0006337,              0.0006337
                     32,                 2.4438,                  3.932,                 2.0323,                0.04808,                0.02841,                  0.034,                0.01073,                 1.9766,                 3.5204,                 1.8566,             0.00062683,             0.00062683,             0.00062683
                     33,                 2.5257,                 4.0228,                   2.05,                0.04808,                0.02841,                  0.034,                0.01073,                 1.9699,                 3.3417,                 1.8347,             0.00061996,             0.00061996,             0.00061996
                     34,                 2.3286,                 3.9035,                 1.9946,                0.04808,                0.02841,                  0.034,                0.01073,                 1.7166,                 3.3498,                 1.7446,             0.00061309,             0.00061309,             0.00061309
                     35,                  2.508,                 4.1544,                 2.0754,                0.04808,                0.02841,                  0.034,                0.01073,                 1.6766,                 3.3295,                 1.7237,             0.00060622,             0.00060622,             0.00060622
                     36,                 2.4259,                 4.1171,                 2.0619,                0.04808,                0.02841,                  0.034,                0.01073,                 1.7043,                 3.3591,                 1.7319,             0.00059934,             0.00059934,             0.00059934
                     37,                 2.3828,                 3.9957,                 2.0486,                0.04808,                0.02841,                  0.034,                0.01073,                 1.8193,                 3.1383,                  1.744,             0.00059247,             0.00059247,             0.00059247
                     38,                 2.3998,                 3.9521,                 2.0412,                0.04808,                0.02841,                  0.034,                0.01073,                 1.9896,                 3.0304,                 1.8329,              0.0005856,              0.0005856,              0.0005856
                     39,                 2.6153,                 4.1505,                 2.1112,                0.04808,                0.02841,                  0.034,                0.01073,                 2.0181,                 3.2172,                 1.8361,             0.00057873,             0.00057873,             0.00057873
                     40,                 2.3761,                 3.8003,                 1.8795,                0.04808,                0.02841,                  0.034,                0.01073,                 1.8096,                 3.1248,                 1.7574,             0.00057185,             0.00057185,             0.00057185
                     41,                 2.3163,                 3.8513,                  1.842,                0.04808,                0.02841,                  0.034,                0.01073,                 1.8728,                 3.3228,                 1.7771,             0.00056498,             0.00056498,             0.00056498
                     42,                 2.5816,                 4.0604,                 1.8918,                0.04808,                0.02841,                  0.034,                0.01073,                 1.8612,                 3.3616,                  1.789,             0.00055811,             0.00055811,             0.00055811
                     43,                 2.3236,                 3.8238,                 1.9451,                0.04808,                0.02841,                  0.034,                0.01073,                 1.8542,                 3.1831,                 1.8289,             0.00055124,             0.00055124,             0.00055124
                     44,                 2.3462,                 3.9654,                 2.0829,                0.04808,                0.02841,                  0.034,                0.01073,                 1.8551,                 3.1706,                 1.7945,             0.00054437,             0.00054437,             0.00054437
                     45,                 2.3276,                 3.8507,                 1.9438,                0.04808,                0.02841,                  0.034,                0.01073,                 1.8168,                 3.1041,                 1.7183,             0.00053749,             0.00053749,             0.00053749
                     46,                  2.406,                 3.9506,                 1.9329,                0.04808,                0.02841,                  0.034,                0.01073,                 1.8533,                 3.2209,                 1.7263,             0.00053062,             0.00053062,             0.00053062
                     47,                    2.4,                 3.8815,                 1.9765,                  0.125,                0.00568,                0.06534,                0.05881,                 1.7621,                 3.1841,                 1.7241,             0.00052375,             0.00052375,             0.00052375
                     48,                 2.3628,                 3.8749,                 1.9357,                  0.125,                0.00568,                0.06534,                0.05881,                 1.7123,                 3.1489,                 1.7129,             0.00051688,             0.00051688,             0.00051688
                     49,                 2.2702,                 3.7286,                 1.9116,                  0.125,                0.00568,                0.06534,                0.05881,                 1.8605,                 3.1336,                 1.7344,                0.00051,                0.00051,                0.00051
                     50,                 2.3304,                  3.861,                  1.932,                  0.125,                0.00568,                0.06534,                0.05881,                 1.8498,                 3.3071,                 1.7076,             0.00050313,             0.00050313,             0.00050313
                     51,                 2.3814,                 3.8606,                 1.8572,                  0.125,                0.00568,                0.06534,                0.05881,                 1.8584,                 3.1565,                 1.7085,             0.00049626,             0.00049626,             0.00049626
                     52,                 2.1773,                 3.6895,                 1.9034,                0.04167,                0.02273,                0.02963,                0.01218,                 2.0141,                 3.2231,                 1.8355,             0.00048939,             0.00048939,             0.00048939
                     53,                 2.3551,                 3.8897,                 2.0203,                0.04167,                0.02273,                0.02963,                0.01218,                 1.8284,                 3.0892,                 1.7301,             0.00048252,             0.00048252,             0.00048252
                     54,                 2.3725,                 3.9182,                 1.9677,                0.04167,                0.02273,                0.02963,                0.01218,                 1.6814,                 3.1705,                 1.6701,             0.00047564,             0.00047564,             0.00047564
                     55,                  2.213,                 3.7959,                 1.9126,                0.04167,                0.02273,                0.02963,                0.01218,                 1.5796,                  3.103,                 1.6159,             0.00046877,             0.00046877,             0.00046877
                     56,                  2.387,                 3.8213,                 1.9682,                0.04167,                0.02273,                0.02963,                0.01218,                 1.6117,                 3.0468,                 1.6254,              0.0004619,              0.0004619,              0.0004619
                     57,                 2.3098,                 3.8528,                 1.9622,                0.04167,                0.02273,                0.02963,                0.01218,                 1.6749,                 2.9007,                 1.6469,             0.00045503,             0.00045503,             0.00045503
                     58,                 2.2597,                 3.7466,                 1.8677,                0.04167,                0.02273,                0.02963,                0.01218,                 1.7808,                 3.1894,                  1.694,             0.00044815,             0.00044815,             0.00044815
                     59,                 2.1733,                 3.6856,                 1.8039,                0.04167,                0.02273,                0.02963,                0.01218,                 1.8718,                  3.288,                 1.7749,             0.00044128,             0.00044128,             0.00044128
                     60,                 2.3015,                 3.7199,                 1.8665,                0.04167,                0.02273,                0.02963,                0.01218,                 1.9647,                 3.1691,                  1.769,             0.00043441,             0.00043441,             0.00043441
                     61,                 2.4361,                 3.8278,                 1.9398,                0.04167,                0.02273,                0.02963,                0.01218,                 1.9192,                 3.1041,                 1.7407,             0.00042754,             0.00042754,             0.00042754
                     62,                 2.3733,                 3.8732,                 2.0002,                0.04167,                0.02273,                0.02963,                0.01218,                 1.8112,                 2.9963,                 1.6933,             0.00042066,             0.00042066,             0.00042066
                     63,                 2.2393,                 3.8586,                 1.9573,                0.04167,                0.02273,                0.02963,                0.01218,                 1.6597,                  2.934,                 1.6299,             0.00041379,             0.00041379,             0.00041379
                     64,                  2.249,                 3.8193,                 2.0283,                0.04167,                0.02273,                0.02963,                0.01218,                 1.7145,                 2.9324,                 1.6145,             0.00040692,             0.00040692,             0.00040692
                     65,                 2.1536,                  3.626,                 1.8218,                0.04167,                0.02273,                0.02963,                0.01218,                 1.7451,                 2.9677,                 1.6394,             0.00040005,             0.00040005,             0.00040005
                     66,                 2.2117,                 3.6579,                  1.745,                  0.125,                0.01136,                0.06818,                0.05482,                 1.6236,                 2.8663,                 1.5999,             0.00039318,             0.00039318,             0.00039318
                     67,                 2.2974,                 3.7758,                  1.836,                  0.125,                0.01136,                0.06818,                0.05482,                 1.5514,                 2.8808,                 1.5805,              0.0003863,              0.0003863,              0.0003863
                     68,                 2.2518,                 3.6439,                 1.9116,                  0.125,                0.01136,                0.06818,                0.05482,                 1.6348,                 3.0118,                 1.6191,             0.00037943,             0.00037943,             0.00037943
                     69,                 2.0898,                  3.563,                 1.8018,                  0.125,                0.01136,                0.06818,                0.05482,                 1.6703,                 2.9859,                 1.6334,             0.00037256,             0.00037256,             0.00037256
                     70,                 2.2398,                 3.6633,                 1.8181,                  0.125,                0.01136,                0.06818,                0.05482,                 1.8161,                 2.9272,                 1.6995,             0.00036569,             0.00036569,             0.00036569
                     71,                 2.1265,                 3.5219,                 1.7209,                  0.125,                0.01136,                0.06818,                0.05482,                 1.7727,                 2.7749,                 1.6833,             0.00035881,             0.00035881,             0.00035881
                     72,                 2.1627,                 3.5973,                 1.8149,                 0.0625,                0.01136,                0.03794,                0.02613,                 1.7327,                 2.8105,                 1.6717,             0.00035194,             0.00035194,             0.00035194
                     73,                 2.2158,                 3.6979,                 1.8466,                0.04688,                0.01705,                0.03432,                0.02006,                 1.7361,                 2.9537,                 1.6664,             0.00034507,             0.00034507,             0.00034507
                     74,                 2.1132,                 3.5771,                 1.7257,                0.04688,                0.01705,                0.03432,                0.02006,                 1.7091,                 2.8439,                 1.6259,              0.0003382,              0.0003382,              0.0003382
                     75,                 2.1718,                 3.5788,                 1.8301,                 0.1875,                0.01068,                0.09767,                 0.0651,                 1.6454,                 2.9272,                 1.5822,             0.00033133,             0.00033133,             0.00033133
                     76,                 2.1332,                 3.6099,                 1.7416,                  0.125,                  0.005,                  0.065,                  0.039,                 1.6901,                 2.8258,                 1.6085,             0.00032445,             0.00032445,             0.00032445
                     77,                 2.2435,                 3.6415,                 1.8335,                  0.125,                  0.005,                  0.065,                  0.039,                 1.7756,                 2.9009,                  1.647,             0.00031758,             0.00031758,             0.00031758
                     78,                 2.2342,                  3.637,                 1.8635,                  0.125,                  0.005,                  0.065,                  0.039,                 1.7862,                 2.9635,                 1.6829,             0.00031071,             0.00031071,             0.00031071
                     79,                 2.2164,                 3.7004,                 1.8038,                0.15625,                0.01068,                0.08133,                0.04717,                 1.7547,                 2.8797,                 1.6689,             0.00030384,             0.00030384,             0.00030384
                     80,                 2.0262,                 3.4109,                 1.7091,                0.15625,                0.01068,                0.08133,                0.04717,                 1.7886,                 2.7748,                 1.6857,             0.00029696,             0.00029696,             0.00029696
                     81,                 2.0776,                  3.535,                 1.7814,                0.15625,                0.01068,                0.08133,                0.04717,                 1.6741,                 2.7436,                 1.6193,             0.00029009,             0.00029009,             0.00029009
                     82,                 2.1189,                 3.4896,                 1.7028,                  0.125,                0.01136,                0.06818,                0.04773,                 1.7224,                   2.82,                 1.6119,             0.00028322,             0.00028322,             0.00028322
                     83,                 2.0309,                 3.4494,                 1.7219,                0.08333,                0.01136,                0.04941,                0.03459,                 1.7729,                 2.8982,                 1.6603,             0.00027635,             0.00027635,             0.00027635
                     84,                 2.0072,                 3.4093,                 1.6333,                  0.125,                0.01136,                0.06818,                0.04773,                 1.7096,                 2.8796,                 1.6424,             0.00026948,             0.00026948,             0.00026948
                     85,                 2.0946,                 3.5417,                 1.7661,                  0.125,                  0.005,                  0.065,                  0.039,                 1.6872,                 2.7681,                 1.6317,              0.0002626,              0.0002626,              0.0002626
                     86,                 2.0435,                  3.423,                 1.7758,                0.07187,                0.02705,                0.05053,                0.03359,                 1.6423,                 2.9886,                 1.5844,             0.00025573,             0.00025573,             0.00025573
                     87,                 2.1641,                 3.6067,                  1.868,                0.11806,                0.03273,                0.07307,                0.05184,                 1.4966,                  2.861,                 1.5232,             0.00024886,             0.00024886,             0.00024886
                     88,                 2.1125,                 3.4999,                 1.7626,                 0.1875,                0.01636,                 0.1019,                0.07016,                 1.4148,                 2.6839,                 1.4841,             0.00024199,             0.00024199,             0.00024199
                     89,                  2.103,                 3.5248,                 1.8066,                0.16071,                0.01636,                0.08702,                0.05761,                  1.435,                 2.7875,                 1.4953,             0.00023511,             0.00023511,             0.00023511
                     90,                 2.1164,                 3.4491,                 1.7571,                   0.15,                0.01068,                0.07976,                 0.0508,                 1.5075,                 2.8611,                 1.5274,             0.00022824,             0.00022824,             0.00022824
                     91,                  2.054,                 3.4628,                 1.6849,                   0.15,                0.01068,                0.07976,                 0.0508,                 1.6666,                  2.753,                 1.5998,             0.00022137,             0.00022137,             0.00022137
                     92,                 2.1251,                 3.5082,                 1.7634,                   0.15,                0.01068,                0.07976,                 0.0508,                 1.5661,                 2.6751,                 1.5632,              0.0002145,              0.0002145,              0.0002145
                     93,                 2.0379,                 3.4949,                 1.7678,                   0.15,                0.01068,                0.07976,                 0.0508,                 1.5205,                 2.6761,                 1.5472,             0.00020763,             0.00020763,             0.00020763
                     94,                 2.0186,                 3.3758,                 1.6566,                0.08622,                0.01136,                 0.0344,                0.02415,                 1.6018,                 2.7298,                  1.575,             0.00020075,             0.00020075,             0.00020075
                     95,                 1.9801,                 3.3585,                 1.6343,                0.08333,                0.01136,                0.04941,                0.03419,                 1.6303,                 2.6919,                 1.5752,             0.00019388,             0.00019388,             0.00019388
                     96,                 2.0293,                 3.3468,                 1.6722,                0.08333,                0.01136,                0.04941,                0.03419,                  1.663,                 2.7363,                 1.5868,             0.00018701,             0.00018701,             0.00018701
                     97,                 2.0365,                 3.4076,                 1.6718,                0.08333,                0.01136,                0.04941,                0.03419,                  1.679,                 2.7711,                 1.6203,             0.00018014,             0.00018014,             0.00018014
                     98,                 2.0201,                 3.5785,                 1.8296,                0.08333,                0.01136,                0.04941,                0.03419,                 1.6833,                  2.749,                 1.6538,             0.00017326,             0.00017326,             0.00017326
