                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.98681,                 8.0697,                0.93099,                0.88785,                0.90047,                0.92064,                0.70142,                 1.0012,                 4.2296,                 1.0268,             0.00066545,             0.00066545,             0.00066545
                      2,                0.99719,                 4.8607,                 1.0149,                0.92799,                0.87441,                0.92564,                0.70221,                 1.0304,                 3.2241,                 1.0501,              0.0012882,              0.0012882,              0.0012882
                      3,                0.98001,                 3.7554,                0.98569,                0.89725,                0.88626,                0.92322,                0.69711,                 1.0368,                 2.5195,                 1.0154,              0.0018669,              0.0018669,              0.0018669
                      4,                0.97339,                 2.9003,                0.97071,                0.89737,                  0.891,                0.92734,                0.71687,                0.97084,                  2.085,                 1.0301,               0.001802,               0.001802,               0.001802
                      5,                  0.882,                 2.1908,                0.97353,                   0.94,                  0.891,                0.93081,                0.72726,                0.96789,                 1.5833,                 1.0202,               0.001802,               0.001802,               0.001802
                      6,                0.88777,                  1.619,                0.96188,                 0.9525,                0.90284,                0.94454,                0.75061,                0.94331,                 1.3162,                0.98231,               0.001736,               0.001736,               0.001736
                      7,                0.86861,                 1.3879,                 0.9416,                 0.9471,                  0.891,                0.93789,                0.72923,                0.99464,                  1.243,                 1.0125,                0.00167,                0.00167,                0.00167
                      8,                0.85924,                 1.1272,                0.91904,                0.93317,                0.92654,                0.94926,                0.74599,                0.96249,                 1.0794,                 1.0145,               0.001604,               0.001604,               0.001604
                      9,                0.83623,                 1.0102,                0.94643,                0.92616,                0.93128,                0.95637,                0.75742,                0.92351,                0.96819,                 1.0013,               0.001538,               0.001538,               0.001538
                     10,                0.79925,                 0.8938,                0.92098,                0.93595,                0.90037,                0.95809,                0.77526,                 0.9184,                0.89036,                 1.0002,               0.001472,               0.001472,               0.001472
                     11,                0.82457,                0.81475,                0.93612,                 0.9505,                0.90995,                0.94916,                 0.7636,                0.91457,                0.85777,                 1.0039,               0.001406,               0.001406,               0.001406
                     12,                0.76556,                0.73468,                0.89578,                0.96547,                0.92766,                0.96136,                0.76418,                0.92668,                0.79677,                 1.0133,                0.00134,                0.00134,                0.00134
                     13,                0.77153,                0.71952,                0.90954,                 0.9458,                0.92891,                0.96514,                0.76446,                0.89664,                0.74036,                0.98025,               0.001274,               0.001274,               0.001274
                     14,                0.76302,                 0.6883,                0.90285,                0.96183,                0.89573,                0.94173,                0.77034,                0.91692,                0.84654,                 1.0208,               0.001208,               0.001208,               0.001208
                     15,                0.78444,                0.67066,                0.89334,                0.94104,                0.92417,                0.95615,                0.77881,                0.90222,                0.76503,                 1.0029,               0.001142,               0.001142,               0.001142
                     16,                0.74665,                0.63612,                0.90438,                 0.9377,                0.92727,                0.94796,                0.75809,                0.91188,                0.73415,                 0.9785,               0.001076,               0.001076,               0.001076
                     17,                0.74693,                0.60636,                  0.882,                0.93928,                0.90521,                0.95056,                0.75256,                0.91286,                0.86266,                0.97552,                0.00101,                0.00101,                0.00101
                     18,                0.70367,                0.57245,                0.88114,                0.97625,                0.87678,                0.93312,                0.76529,                0.89782,                0.81167,                 0.9824,               0.000944,               0.000944,               0.000944
                     19,                 0.6877,                0.55255,                0.87432,                 0.9315,                0.93448,                0.96195,                0.78712,                0.85199,                0.68397,                 0.9712,               0.000878,               0.000878,               0.000878
                     20,                0.69137,                0.53454,                0.89051,                0.94727,                0.93839,                0.96854,                0.78125,                0.87642,                0.64067,                0.97887,               0.000812,               0.000812,               0.000812
                     21,                0.66632,                0.51346,                0.86421,                 0.9462,                 0.9218,                 0.9549,                0.78329,                  0.837,                0.68552,                0.96511,               0.000746,               0.000746,               0.000746
                     22,                 0.6522,                0.49768,                0.85706,                0.93932,                0.91706,                0.95108,                0.78547,                0.84571,                0.76252,                0.95993,                0.00068,                0.00068,                0.00068
                     23,                0.60418,                0.46601,                0.84275,                0.95884,                0.93839,                0.96212,                0.79775,                 0.8194,                0.65051,                0.94903,               0.000614,               0.000614,               0.000614
                     24,                0.59962,                0.45696,                0.83686,                0.96117,                0.93861,                0.96427,                0.79934,                0.81093,                0.61807,                0.96202,               0.000548,               0.000548,               0.000548
                     25,                0.54618,                0.42874,                0.82718,                0.95157,                0.93128,                0.95777,                0.79614,                0.81614,                0.64783,                0.96743,               0.000482,               0.000482,               0.000482
                     26,                0.52108,                 0.4119,                0.82021,                0.97008,                0.92205,                0.95683,                0.80134,                0.79542,                0.65763,                0.95499,               0.000416,               0.000416,               0.000416
                     27,                0.49409,                 0.3915,                0.81275,                0.96523,                0.92091,                0.95504,                0.79609,                0.81768,                0.68796,                0.95934,                0.00035,                0.00035,                0.00035
                     28,                0.48437,                0.37531,                0.81163,                0.95285,                0.90995,                0.94976,                0.79576,                0.80205,                0.71511,                0.95408,               0.000284,               0.000284,               0.000284
                     29,                0.47136,                0.36679,                0.80788,                0.97194,                0.90284,                0.94802,                0.78932,                0.81459,                0.75382,                0.96457,               0.000218,               0.000218,               0.000218
                     30,                0.44772,                0.35527,                0.80248,                0.96482,                0.90995,                0.94976,                0.79352,                0.79943,                0.67849,                0.95672,               0.000152,               0.000152,               0.000152
